p,q,aic,bic
5,17,-3873.8074262599357,-3756.021299564364
5,18,-3877.124637310131,-3754.430755335578
5,19,-3875.5738869224288,-3747.9722496688933
6,0,-3890.54315710747,-3851.2811148756127
6,1,-3888.556530925223,-3844.386733414384
6,2,-3886.54546284427,-3837.4679100544486
6,3,-3885.8452246474353,-3831.859916578632
6,4,-3882.5465650376655,-3823.6535016898797
6,5,-3880.5343503052936,-3816.7335316785257
6,6,-3883.088174356254,-3814.3796004505043
6,7,-3880.124785747183,-3806.508456562451
6,8,-3876.95685668958,-3798.432772225866
6,9,-3874.1470885046856,-3790.715248761989
6,10,-3872.1887824031664,-3783.849187381488
6,11,-3879.0952806160644,-3785.847930315404
6,12,-3880.8797559993222,-3782.7246504196796
6,13,-3883.0736544013716,-3780.010793542747
6,14,-3879.5681902786173,-3771.59757414101
6,15,-3881.0499909943146,-3768.1716195777253
6,16,-3879.5632002948287,-3761.777073599257
6,17,-3877.371719684851,-3754.677837710298
6,18,-3876.8828138069866,-3749.281176553451
6,19,-3875.2848553389476,-3742.77546280643
7,0,-3888.565756192991,-3844.395958682152
7,1,-3886.560473761262,-3837.4829209714408
7,2,-3884.5495085092252,-3830.5642004404217
7,3,-3885.8756834951237,-3826.982620147338
7,4,-3880.546586539319,-3816.745767912551
7,5,-3878.534030321404,-3809.825456415654
7,6,-3879.7723678882076,-3806.1560387034756
7,7,-3878.6663640593065,-3800.1422795955923
7,8,-3874.2796480724433,-3790.847808329747
7,9,-3875.4487784334706,-3787.109183411792
7,10,-3871.2051417107878,-3777.9577914101274
7,11,-3874.6053979738513,-3776.4502923942086
7,12,-3878.146763709372,-3775.083902850747
7,13,-3881.8521028126806,-3773.8814866750736
7,14,-3878.2034246363764,-3765.325053219787
7,15,-3878.733876841893,-3760.9477501463216
7,16,-3878.3466331270993,-3755.652751152546
7,17,-3875.5435211376334,-3747.941883884098
7,18,-3874.313158368952,-3741.803765836434
7,19,-3873.3647901309523,-3735.9476423194524
8,0,-3886.627953890054,-3837.5504011002326
8,1,-3884.640514261582,-3830.6552061927787
8,2,-3882.6456644273076,-3823.752601079522
8,3,-3882.6380750438525,-3818.8372564170845
8,4,-3878.595068486536,-3809.8864945807863
8,5,-3878.495495682093,-3804.879166497361
8,6,-3877.9658868030738,-3799.4418023393596
8,7,-3873.782910998744,-3790.3510712560474
8,8,-3878.6566117846137,-3790.317016762935
8,9,-3873.29044252689,-3780.0430922262294
8,10,-3870.355663941393,-3772.20055836175
8,11,-3872.752519053309,-3769.689658194684
8,12,-3875.973895719396,-3768.003279581789
8,13,-3873.4462437739467,-3760.5678723573574
8,14,-3879.75174123,-3761.965614534429
8,15,-3880.848409560391,-3758.1545275858375
8,16,-3878.4572093913534,-3750.855572137818
8,17,-3876.643915607462,-3744.1345230749444
8,18,-3875.594108983226,-3738.176961171726
8,19,-3874.104284705575,-3731.779381615093
9,0,-3884.739319982087,-3830.7540119132836
9,1,-3882.7887752600973,-3823.8957119123115
9,2,-3880.789848935786,-3816.989030309018
9,3,-3881.7954324564203,-3813.0868585506705
9,4,-3877.134287947907,-3803.517958763175
9,5,-3874.7813179575437,-3796.2572334938295
9,6,-3879.2364076396316,-3795.804567896935
9,7,-3872.9467167053117,-3784.607121683633
9,8,-3876.8071706885294,-3783.559820387869
9,9,-3870.594543707987,-3772.4394381283446
9,10,-3869.771001527927,-3766.7081406693023
9,11,-3874.940724747341,-3766.970108609734
9,12,-3874.016069147281,-3761.137697730692
9,13,-3883.90847648623,-3766.1223497906585
9,14,-3881.15709948044,-3758.463217505887
9,15,-3880.3228751385986,-3752.721237885063
9,16,-3875.808244635289,-3743.2988521027714
9,17,-3875.1154032333225,-3737.6982554218225
